name,zone,club,grade,title,last_played,player_key,profile_url
Craig Thomas,E1,NA,1079,NA,NA,e1 craig thomas,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20craig%20thomas
Anson Howard,D1,NA,1077,NA,NA,d1 anson howard,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=d1%20anson%20howard
Mark Maddock,E1,NA,1075,NA,NA,e1 mark maddock,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20mark%20maddock
Les Beer,W1,NA,1073,NA,NA,w1 les beer,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20les%20beer
Jonathan Edwards,E1,NA,1071,NA,2022-05-24,e1 jonathan edwards,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20jonathan%20edwards
Minjae Park,W1,NA,1067,NA,NA,w1 minjae park,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20minjae%20park
Arya Rassi,W1,NA,1066,NA,NA,w1 arya rassi,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20arya%20rassi
Roger Llewellyn,W1,NA,1062,NA,NA,w1 roger llewellyn,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20roger%20llewellyn
Anthony Williams,E1,NA,1062,NA,2022-05-23,e1 anthony williams,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20anthony%20williams
Robert Sequeira,G1,NA,1059,NA,NA,g1 robert sequeira,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20robert%20sequeira
Christian Taren,W1,NA,1059,NA,NA,w1 christian taren,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20christian%20taren
Bryn Atkinson,G1,NA,1054,NA,NA,g1 bryn atkinson,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20bryn%20atkinson
Mitri Shariha,W1,NA,1051,NA,NA,w1 mitri shariha,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20mitri%20shariha
Isaac Potter,E1,NA,1050,NA,2022-05-23,e1 isaac potter,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20isaac%20potter
