name,zone,club,grade,title,last_played,player_key,profile_url,name_clean
Duncan Williams,W1,NA,1735,NA,2020-03-09,w1 duncan williams,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20duncan%20williams,duncan williams
Michael Arribas-Ayllon,E1,NA,1732,NA,2020-03-11,e1 michael arribas-ayllon,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20michael%20arribas-ayllon,michael arribas-ayllon
Dave Parsons,E1,NA,1732,NA,2020-03-11,e1 dave parsons,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20dave%20parsons,dave parsons
Chris Grier,N1,NA,1730,NA,2020-03-10,n1 chris grier,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20chris%20grier,chris grier
Syringa Camp,N1,NA,1728,NA,NA,n1 syringa camp,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20syringa%20camp,syringa camp
Roger Greatorex,N1,NA,1723,NA,2020-02-16,n1 roger greatorex,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20roger%20greatorex,roger greatorex
Steve Horrell,G1,NA,1719,NA,2020-03-11,g1 steve horrell,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20steve%20horrell,steve horrell
Peter S Fisher,N1,NA,1715,NA,2020-03-03,n1 peter s fisher,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20peter%20s%20fisher,peter s fisher
Mohammed Ayad,N1,NA,1713,NA,2020-03-10,n1 mohammed ayad,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20mohammed%20ayad,mohammed ayad
Steve Williams (Cwm),G1,NA,1711,NA,2020-03-15,g1 steve williams (cwm),https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20steve%20williams%20%28cwm%29,steve williams (cwm)
Chris Fox,E1,NA,1707,NA,2020-03-11,e1 chris fox,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20chris%20fox,chris fox
Michael Whale,N1,NA,1707,NA,2020-03-02,n1 michael whale,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20michael%20whale,michael whale
Michael Beck,W1,NA,1706,NA,2020-03-05,w1 michael beck,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20michael%20beck,michael beck
Martyn Griffiths,W1,NA,1705,NA,2020-03-05,w1 martyn griffiths,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20martyn%20griffiths,martyn griffiths
